Sitio;Zona del Estuario;Franja Intermareal;Año;UI;Salinidad;Temperatura;Riqueza;Abundancia;Shannon_H;Equitatividad
B;INTERNA ;ALTA;2023;Alto;3.72;22.9;1;36;0;0
B;INTERNA ;ALTA;2023;Alto;3.72;22.9;1;43;0;0
B;INTERNA ;ALTA;2023;Alto;3.72;22.9;1;148;0;0
B;INTERNA ;MEDIA;2023;Alto;3.72;22.9;6;1135;1.129;0.63
B;INTERNA ;MEDIA;2023;Alto;3.72;22.9;10;564;1.197;0.52
B;INTERNA ;MEDIA;2023;Alto;3.72;22.9;8;985;1.251;0.6015
B;INTERNA ;BAJA;2023;Alto;3.72;22.9;12;727;1.086;0.4369
B;INTERNA ;BAJA;2023;Alto;3.72;22.9;11;1522;1.065;0.4441
B;INTERNA ;BAJA;2023;Alto;3.72;22.9;8;1059;0.9191;0.442
PG;INTERNA ;ALTA;2023;Alto;4.3;24.06;1;56;0;0
PG;INTERNA ;ALTA;2023;Alto;4.3;24.06;1;104;0;0
PG;INTERNA ;ALTA;2023;Alto;4.3;24.06;1;130;0;0
PG;INTERNA ;MEDIA;2023;Alto;4.3;24.06;7;1129;1.117;0.5738
PG;INTERNA ;MEDIA;2023;Alto;4.3;24.06;10;1612;0.7661;0.3327
PG;INTERNA ;MEDIA;2023;Alto;4.3;24.06;10;1639;1.424;0.6186
PG;INTERNA ;BAJA;2023;Alto;4.3;24.06;11;1350;1.123;0.4683
PG;INTERNA ;BAJA;2023;Alto;4.3;24.06;10;781;1.379;0.5988
PG;INTERNA ;BAJA;2023;Alto;4.3;24.06;10;1214;0.9056;0.3933
AT;INTERNA ;ALTA;2023;Medio;10.93;21.15;1;77;0;0
AT;INTERNA ;ALTA;2023;Medio;10.93;21.15;1;476;0;0
AT;INTERNA ;ALTA;2023;Medio;10.93;21.15;1;286;0;0
AT;INTERNA ;MEDIA;2023;Medio;10.93;21.15;15;1663;1.605;0.5928
AT;INTERNA ;MEDIA;2023;Medio;10.93;21.15;16;1147;1.905;0.6871
AT;INTERNA ;MEDIA;2023;Medio;10.93;21.15;13;2838;1.597;0.6224
AT;INTERNA ;BAJA;2023;Medio;10.93;21.15;12;1767;1.349;0.543
AT;INTERNA ;BAJA;2023;Medio;10.93;21.15;9;1124;1.114;0.5069
AT;INTERNA ;BAJA;2023;Medio;10.93;21.15;10;2352;1.254;0.5445
PV;MEDIA;ALTA;2023;Medio;10.57;22.12;1;23;0;0
PV;MEDIA;ALTA;2023;Medio;10.57;22.12;1;48;0;0
